HAULJOIN,CRUISE,VESSEL,HAUL,GIS_STATION,LATITUDE,LONGITUDE,SPECIES_CODE,SEX,WIDTH,CHELA_HEIGHT,SHELL_CONDITION,SAMPLING_FACTOR
10022,198901,37,176,U-26,61.65775,-174.31467,68580,1,43,6,2,8.3158
10022,198901,37,176,U-26,61.65775,-174.31467,68580,1,45,6,2,8.3158
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,40,6,2,1
11823,198901,78,181,V-26,61.92675,-174.596,68580,1,40,6,2,32.9556
11823,198901,78,181,V-26,61.92675,-174.596,68580,1,47,6,2,32.9556
11822,198901,78,180,U-27,61.67067,-174.98258,68580,1,43,6,2,13.2
11825,198901,78,183,V-27,61.99884,-175.18717,68580,1,42,6,2,30.6167
11825,198901,78,183,V-27,61.99884,-175.18717,68580,1,40,6,2,30.6167
11838,198901,78,196,P-31,60.003,-177.18425,68580,1,40,6,2,1
11838,198901,78,196,P-31,60.003,-177.18425,68580,1,43,6,2,1
11823,198901,78,181,V-26,61.92675,-174.596,68580,1,44,6,2,32.9556
11824,198901,78,182,V-25,61.9925,-173.96234,68580,1,45,6,2,19.1045
11824,198901,78,182,V-25,61.9925,-173.96234,68580,1,39,6,2,19.1045
11825,198901,78,183,V-27,61.99884,-175.18717,68580,1,41,6,2,30.6167
11824,198901,78,182,V-25,61.9925,-173.96234,68580,1,39,6,2,19.1045
11824,198901,78,182,V-25,61.9925,-173.96234,68580,1,38,6,2,19.1045
11824,198901,78,182,V-25,61.9925,-173.96234,68580,1,41,6,2,19.1045
11821,198901,78,179,T-27,61.36075,-175.01167,68580,1,43,6,2,9.1111
11838,198901,78,196,P-31,60.003,-177.18425,68580,1,42,6,2,1
11838,198901,78,196,P-31,60.003,-177.18425,68580,1,40,6,2,1
11838,198901,78,196,P-31,60.003,-177.18425,68580,1,42,6,2,1
11838,198901,78,196,P-31,60.003,-177.18425,68580,1,38,6,2,1
11831,198901,78,189,T-28,61.28042,-175.80183,68580,1,50,6,2,4.697
11824,198901,78,182,V-25,61.9925,-173.96234,68580,1,42,6,2,19.1045
11823,198901,78,181,V-26,61.92675,-174.596,68580,1,41,6,2,32.9556
10022,198901,37,176,U-26,61.65775,-174.31467,68580,1,47,7,2,8.3158
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,42,7,2,4.75
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,47,7,2,4.75
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,47,7,2,6.1429
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,42,7,2,6.2857
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,42,7,2,6.2857
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,50,7,2,4.75
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,48,7,2,6.2857
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,42,7,2,4.75
10024,198901,37,178,U-28,61.66592,-175.76475,68580,1,50,7,2,2.5267
10024,198901,37,178,U-28,61.66592,-175.76475,68580,1,49,7,2,2.5267
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,47,7,2,6.1429
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,44,7,2,6.2857
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,44,7,2,6.2857
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,44,7,2,6.2857
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,44,7,2,4.75
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,42,7,2,4.75
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,48,7,2,6.1429
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,48,7,2,6.1429
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,48,7,2,6.1429
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,48,7,2,6.1429
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,43,7,2,6.2857
10024,198901,37,178,U-28,61.66592,-175.76475,68580,1,51,7,2,2.5267
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,46,7,2,13.8776
11823,198901,78,181,V-26,61.92675,-174.596,68580,1,50,7,2,32.9556
11823,198901,78,181,V-26,61.92675,-174.596,68580,1,47,7,2,32.9556
11823,198901,78,181,V-26,61.92675,-174.596,68580,1,46,7,2,32.9556
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,50,7,2,13.8776
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,60,7,2,6.1429
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,51,7,2,1
11822,198901,78,180,U-27,61.67067,-174.98258,68580,1,51,7,2,13.2
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,45,7,2,13.8776
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,47,7,2,6.1429
10022,198901,37,176,U-26,61.65775,-174.31467,68580,1,44,7,2,8.3158
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,48,7,2,6.2857
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,42,7,2,6.2857
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,45,7,2,6.2857
11826,198901,78,184,V-28,62.00275,-176.05717,68580,1,47,7,2,12.9467
11826,198901,78,184,V-28,62.00275,-176.05717,68580,1,56,7,2,12.9467
11826,198901,78,184,V-28,62.00275,-176.05717,68580,1,48,7,2,12.9467
11826,198901,78,184,V-28,62.00275,-176.05717,68580,1,45,7,2,12.9467
11826,198901,78,184,V-28,62.00275,-176.05717,68580,1,43,7,2,12.9467
11821,198901,78,179,T-27,61.36075,-175.01167,68580,1,49,7,2,9.1111
11822,198901,78,180,U-27,61.67067,-174.98258,68580,1,48,7,2,13.2
11822,198901,78,180,U-27,61.67067,-174.98258,68580,1,50,7,2,13.2
11822,198901,78,180,U-27,61.67067,-174.98258,68580,1,43,7,2,13.2
11831,198901,78,189,T-28,61.28042,-175.80183,68580,1,47,7,2,4.697
11824,198901,78,182,V-25,61.9925,-173.96234,68580,1,45,7,2,19.1045
11825,198901,78,183,V-27,61.99884,-175.18717,68580,1,52,7,2,30.6167
11825,198901,78,183,V-27,61.99884,-175.18717,68580,1,46,7,2,30.6167
11825,198901,78,183,V-27,61.99884,-175.18717,68580,1,45,7,2,30.6167
11831,198901,78,189,T-28,61.28042,-175.80183,68580,1,48,7,2,4.697
11831,198901,78,189,T-28,61.28042,-175.80183,68580,1,52,7,2,4.697
11822,198901,78,180,U-27,61.67067,-174.98258,68580,1,48,7,2,13.2
11824,198901,78,182,V-25,61.9925,-173.96234,68580,1,43,7,2,19.1045
11838,198901,78,196,P-31,60.003,-177.18425,68580,1,42,7,2,1
11826,198901,78,184,V-28,62.00275,-176.05717,68580,1,47,7,2,12.9467
11821,198901,78,179,T-27,61.36075,-175.01167,68580,1,46,7,2,9.1111
11821,198901,78,179,T-27,61.36075,-175.01167,68580,1,40,7,2,9.1111
11824,198901,78,182,V-25,61.9925,-173.96234,68580,1,47,7,2,19.1045
11821,198901,78,179,T-27,61.36075,-175.01167,68580,1,50,7,2,9.1111
10022,198901,37,176,U-26,61.65775,-174.31467,68580,1,47,7,2,8.3158
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,49,7,2,6.2857
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,50,8,2,6.2857
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,49,8,2,4.75
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,52,8,2,6.1429
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,51,8,2,6.2857
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,46,8,2,6.2857
10024,198901,37,178,U-28,61.66592,-175.76475,68580,1,57,8,2,2.5267
10024,198901,37,178,U-28,61.66592,-175.76475,68580,1,54,8,2,2.5267
10033,198901,37,187,Q-28,60.33117,-175.40508,68580,1,53,8,2,3.435
10022,198901,37,176,U-26,61.65775,-174.31467,68580,1,56,8,2,8.3158
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,49,8,2,4.75
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,48,8,2,4.75
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,51,8,2,6.1429
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,49,8,2,6.2857
10024,198901,37,178,U-28,61.66592,-175.76475,68580,1,56,8,2,2.5267
10032,198901,37,186,R-28,60.66917,-175.45783,68580,1,59,8,2,3.5426
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,42,8,2,6.2857
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,44,8,2,4.75
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,54,8,2,6.1429
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,50,8,2,6.2857
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,49,8,2,6.2857
10024,198901,37,178,U-28,61.66592,-175.76475,68580,1,54,8,2,2.5267
9933,198901,37,87,J-02,57.99775,-167.15508,68580,1,60,8,2,11.4167
10031,198901,37,185,S-28,61.00242,-175.57242,68580,1,53,8,2,2.6348
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,53,8,2,13.8776
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,52,8,2,13.8776
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,49,8,2,13.8776
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,52,8,2,6.1429
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,49,8,2,6.2857
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,45,8,2,6.2857
10032,198901,37,186,R-28,60.66917,-175.45783,68580,1,53,8,2,3.5426
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,54,8,2,1
11826,198901,78,184,V-28,62.00275,-176.05717,68580,1,51,8,2,12.9467
11826,198901,78,184,V-28,62.00275,-176.05717,68580,1,49,8,2,12.9467
11832,198901,78,190,R-29,60.66384,-176.26175,68580,1,52,8,2,7
11830,198901,78,188,T-29,61.3285,-176.28984,68580,1,52,8,2,15.5256
11819,198901,78,177,Q-27,60.31867,-174.7075,68580,1,57,8,2,10.8127
11829,198901,78,187,T-30,61.3305,-176.96275,68580,1,52,8,2,4
11831,198901,78,189,T-28,61.28042,-175.80183,68580,1,57,8,2,4.697
11831,198901,78,189,T-28,61.28042,-175.80183,68580,1,54,8,2,4.697
11831,198901,78,189,T-28,61.28042,-175.80183,68580,1,53,8,2,4.697
11831,198901,78,189,T-28,61.28042,-175.80183,68580,1,52,8,2,4.697
11825,198901,78,183,V-27,61.99884,-175.18717,68580,1,51,8,2,30.6167
11824,198901,78,182,V-25,61.9925,-173.96234,68580,1,51,8,2,19.1045
11831,198901,78,189,T-28,61.28042,-175.80183,68580,1,53,8,2,4.697
11824,198901,78,182,V-25,61.9925,-173.96234,68580,1,51,8,2,19.1045
11838,198901,78,196,P-31,60.003,-177.18425,68580,1,42,8,2,1
11819,198901,78,177,Q-27,60.31867,-174.7075,68580,1,54,8,2,10.8127
11830,198901,78,188,T-29,61.3285,-176.28984,68580,1,55,8,2,15.5256
11826,198901,78,184,V-28,62.00275,-176.05717,68580,1,52,8,2,12.9467
11831,198901,78,189,T-28,61.28042,-175.80183,68580,1,48,8,2,4.697
11829,198901,78,187,T-30,61.3305,-176.96275,68580,1,52,8,2,4
11824,198901,78,182,V-25,61.9925,-173.96234,68580,1,53,8,2,19.1045
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,55,8,2,13.8776
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,48,8,2,4.75
10022,198901,37,176,U-26,61.65775,-174.31467,68580,1,55,8,2,8.3158
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,51,8,2,6.2857
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,57,9,2,13.8776
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,59,9,2,13.8776
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,57,9,2,13.8776
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,54,9,2,4.75
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,55,9,2,4.75
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,56,9,2,13.8776
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,59,9,2,13.8776
10024,198901,37,178,U-28,61.66592,-175.76475,68580,1,59,9,2,2.5267
10033,198901,37,187,Q-28,60.33117,-175.40508,68580,1,60,9,2,3.435
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,53,9,2,4.75
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,51,9,2,4.75
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,56,9,2,4.75
10024,198901,37,178,U-28,61.66592,-175.76475,68580,1,56,9,2,2.5267
10022,198901,37,176,U-26,61.65775,-174.31467,68580,1,57,9,2,8.3158
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,61,9,2,6.1429
10030,198901,37,184,S-29,61.00175,-176.27967,68580,1,58,9,2,2.6632
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,57,9,2,13.8776
11823,198901,78,181,V-26,61.92675,-174.596,68580,1,50,9,2,32.9556
11830,198901,78,188,T-29,61.3285,-176.28984,68580,1,54,9,2,15.5256
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,48,9,2,4.75
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,52,9,2,4.75
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,54,9,2,1
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,59,9,2,13.8776
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,55,9,2,13.8776
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,55,9,2,1
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,58,9,2,1
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,56,9,2,1
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,55,9,2,1
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,57,9,2,1
10032,198901,37,186,R-28,60.66917,-175.45783,68580,1,58,9,2,3.5426
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,57,9,2,13.8776
11842,198901,78,200,N-28,59.337,-175.17192,68580,1,62,9,2,2
11819,198901,78,177,Q-27,60.31867,-174.7075,68580,1,53,9,2,10.8127
11826,198901,78,184,V-28,62.00275,-176.05717,68580,1,55,9,2,12.9467
11826,198901,78,184,V-28,62.00275,-176.05717,68580,1,56,9,2,12.9467
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,55,9,2,13.8776
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,59,9,2,13.8776
11820,198901,78,178,S-27,61.06883,-174.9355,68580,1,55,9,2,4.8148
11817,198901,78,175,O-27,59.67967,-174.45309,68580,1,47,9,2,1
11829,198901,78,187,T-30,61.3305,-176.96275,68580,1,55,9,2,4
11822,198901,78,180,U-27,61.67067,-174.98258,68580,1,59,9,2,13.2
11830,198901,78,188,T-29,61.3285,-176.28984,68580,1,56,9,2,15.5256
11819,198901,78,177,Q-27,60.31867,-174.7075,68580,1,58,9,2,10.8127
11819,198901,78,177,Q-27,60.31867,-174.7075,68580,1,59,9,2,10.8127
11819,198901,78,177,Q-27,60.31867,-174.7075,68580,1,51,9,2,10.8127
11829,198901,78,187,T-30,61.3305,-176.96275,68580,1,58,9,2,4
11829,198901,78,187,T-30,61.3305,-176.96275,68580,1,50,9,2,4
11821,198901,78,179,T-27,61.36075,-175.01167,68580,1,82,9,2,9.1111
11819,198901,78,177,Q-27,60.31867,-174.7075,68580,1,58,9,2,10.8127
11830,198901,78,188,T-29,61.3285,-176.28984,68580,1,54,9,2,15.5256
11826,198901,78,184,V-28,62.00275,-176.05717,68580,1,62,9,2,12.9467
11825,198901,78,183,V-27,61.99884,-175.18717,68580,1,55,9,2,30.6167
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,60,9,2,6.1429
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,55,9,2,1
9948,198901,37,102,J-18,58.00625,-168.43609,68580,1,63,10,2,2.4146
9948,198901,37,102,J-18,58.00625,-168.43609,68580,1,65,10,2,2.4146
10032,198901,37,186,R-28,60.66917,-175.45783,68580,1,64,10,2,3.5426
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,59,10,2,13.8776
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,63,10,2,13.8776
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,65,10,2,13.8776
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,59,10,2,13.8776
10030,198901,37,184,S-29,61.00175,-176.27967,68580,1,63,10,2,2.6632
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,56,10,2,4.75
10024,198901,37,178,U-28,61.66592,-175.76475,68580,1,58,10,2,2.5267
10033,198901,37,187,Q-28,60.33117,-175.40508,68580,1,67,10,2,3.435
10033,198901,37,187,Q-28,60.33117,-175.40508,68580,1,62,10,2,3.435
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,54,10,2,4.75
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,48,10,2,4.75
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,55,10,2,4.75
10024,198901,37,178,U-28,61.66592,-175.76475,68580,1,63,10,2,2.5267
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,54,10,2,6.1429
10023,198901,37,177,U-25,61.66825,-173.69592,68580,1,60,10,2,6.2857
9977,198901,37,131,R-22,60.66733,-171.44425,68580,1,61,10,2,9.75
9977,198901,37,131,R-22,60.66733,-171.44425,68580,1,55,10,2,9.75
10024,198901,37,178,U-28,61.66592,-175.76475,68580,1,60,10,2,2.5267
10024,198901,37,178,U-28,61.66592,-175.76475,68580,1,59,10,2,2.5267
9954,198901,37,108,G-18,57.01034,-168.34167,68580,1,72,10,2,1
9947,198901,37,101,K-18,58.33792,-168.47967,68580,1,74,10,2,1
9932,198901,37,86,I-02,57.66334,-167.1565,68580,1,64,10,2,2
11718,198901,78,76,I-03,57.68725,-166.50033,68580,1,61,10,2,7.1571
10024,198901,37,178,U-28,61.66592,-175.76475,68580,1,78,10,2,2.5267
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,60,10,2,1
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,63,10,2,1
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,63,10,2,1
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,52,10,2,6.1429
10030,198901,37,184,S-29,61.00175,-176.27967,68580,1,67,10,2,2.6632
10030,198901,37,184,S-29,61.00175,-176.27967,68580,1,61,10,2,2.6632
10031,198901,37,185,S-28,61.00242,-175.57242,68580,1,66,10,2,2.6348
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,63,10,2,13.8776
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,60,10,2,1
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,59,10,2,13.8776
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,62,10,2,1
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,63,10,2,1
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,59,10,2,1
10018,198901,37,172,M-26,58.99842,-173.71425,68580,1,54,10,2,1
10032,198901,37,186,R-28,60.66917,-175.45783,68580,1,58,10,2,3.5426
11718,198901,78,76,I-03,57.68725,-166.50033,68580,1,61,10,2,7.1571
11820,198901,78,178,S-27,61.06883,-174.9355,68580,1,56,10,2,4.8148
11820,198901,78,178,S-27,61.06883,-174.9355,68580,1,63,10,2,4.8148
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,57,10,2,1
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,63,10,2,13.8776
11820,198901,78,178,S-27,61.06883,-174.9355,68580,1,56,10,2,4.8148
11830,198901,78,188,T-29,61.3285,-176.28984,68580,1,62,10,2,15.5256
11829,198901,78,187,T-30,61.3305,-176.96275,68580,1,56,10,2,4
11829,198901,78,187,T-30,61.3305,-176.96275,68580,1,61,10,2,4
11829,198901,78,187,T-30,61.3305,-176.96275,68580,1,64,10,2,4
11803,198901,78,161,PO2625,59.84058,-173.52342,68580,1,64,10,2,2.2324
11825,198901,78,183,V-27,61.99884,-175.18717,68580,1,58,10,2,30.6167
11817,198901,78,175,O-27,59.67967,-174.45309,68580,1,54,10,2,1
11829,198901,78,187,T-30,61.3305,-176.96275,68580,1,64,10,2,4
11818,198901,78,176,P-27,60.01934,-174.60342,68580,1,58,10,2,11.8228
11820,198901,78,178,S-27,61.06883,-174.9355,68580,1,63,10,2,4.8148
11824,198901,78,182,V-25,61.9925,-173.96234,68580,1,52,10,2,19.1045
11821,198901,78,179,T-27,61.36075,-175.01167,68580,1,58,10,2,9.1111
11834,198901,78,192,R-31,60.66267,-177.51767,68580,1,50,10,2,2
11818,198901,78,176,P-27,60.01934,-174.60342,68580,1,60,10,2,11.8228
11830,198901,78,188,T-29,61.3285,-176.28984,68580,1,56,10,2,15.5256
11830,198901,78,188,T-29,61.3285,-176.28984,68580,1,58,10,2,15.5256
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,60,10,2,13.8776
11720,198901,78,78,K-03,58.35325,-166.55667,68580,1,64,10,2,1
11819,198901,78,177,Q-27,60.31867,-174.7075,68580,1,61,10,2,10.8127
11826,198901,78,184,V-28,62.00275,-176.05717,68580,1,60,10,2,12.9467
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,53,10,2,4.75
11719,198901,78,77,J-03,58.01917,-166.51992,68580,1,62,10,2,13.8776
9948,198901,37,102,J-18,58.00625,-168.43609,68580,1,68,11,2,2.4146
10031,198901,37,185,S-28,61.00242,-175.57242,68580,1,63,11,2,2.6348
10021,198901,37,175,T-26,61.34359,-174.21875,68580,1,68,11,2,6.1429
10030,198901,37,184,S-29,61.00175,-176.27967,68580,1,66,11,2,2.6632
10030,198901,37,184,S-29,61.00175,-176.27967,68580,1,71,11,2,2.6632
10030,198901,37,184,S-29,61.00175,-176.27967,68580,1,68,11,2,2.6632
10031,198901,37,185,S-28,61.00242,-175.57242,68580,1,67,11,2,2.6348
10033,198901,37,187,Q-28,60.33117,-175.40508,68580,1,70,11,2,3.435
10033,198901,37,187,Q-28,60.33117,-175.40508,68580,1,55,11,2,3.435
10028,198901,37,182,S-31,60.99925,-177.6335,68580,1,57,11,2,1
10020,198901,37,174,T-25,61.33917,-173.56342,68580,1,55,11,2,4.75
11718,198901,78,76,I-03,57.68725,-166.50033,68580,1,70,11,2,7.1571
11718,198901,78,76,I-03,57.68725,-166.50033,68580,1,65,11,2,7.1571
10024,198901,37,178,U-28,61.66592,-175.76475,68580,1,63,11,2,2.5267
10032,198901,37,186,R-28,60.66917,-175.45783,68580,1,54,11,2,3.5426
10024,198901,37,178,U-28,61.66592,-175.76475,68580,1,66,11,2,2.5267
10024,198901,37,178,U-28,61.66592,-175.76475,68580,1,61,11,2,2.5267
10015,198901,37,169,J-26,57.99792,-173.48508,68580,1,55,11,2,1
9977,198901,37,131,R-22,60.66733,-171.44425,68580,1,61,11,2,9.75
9977,198901,37,131,R-22,60.66733,-171.44425,68580,1,65,11,2,9.75
9981,198901,37,135,N-22,59.33067,-171.17717,68580,1,71,11,2,10.4246
9981,198901,37,135,N-22,59.33067,-171.17717,68580,1,71,11,2,10.4246
9989,198901,37,143,F-22,56.65275,-170.73075,68580,1,58,11,2,5.0426
10024,198901,37,178,U-28,61.66592,-175.76475,68580,1,66,11,2,2.5267
9947,198901,37,101,K-18,58.33792,-168.47967,68580,1,74,11,2,1
